model,k,strategy,symmetry,status,time,conflicts
decomposed,64,lexico,True,INFEASIBLE,0.2727231979370117,0
decomposed,64,maxdeg,True,INFEASIBLE,0.19065165519714355,0
decomposed,64,portfolio,True,INFEASIBLE,0.1801900863647461,0
global,64,lexico,True,UNKNOWN,5.000576019287109,8214
global,64,fixed,True,UNKNOWN,5.009317398071289,7219
global,64,portfolio,True,UNKNOWN,5.009237289428711,31060
decomposed,65,lexico,True,INFEASIBLE,0.17913079261779785,0
decomposed,65,maxdeg,True,INFEASIBLE,0.17957663536071777,0
decomposed,65,portfolio,True,INFEASIBLE,0.18602490425109863,0
global,65,lexico,True,UNKNOWN,5.0236828327178955,9622
global,65,fixed,True,UNKNOWN,5.009582281112671,9847
global,65,portfolio,True,UNKNOWN,5.00143575668335,32306
decomposed,66,lexico,True,UNKNOWN,5.010608196258545,5598
decomposed,66,maxdeg,True,OPTIMAL,0.8333225250244141,0
decomposed,66,portfolio,True,UNKNOWN,4.993894100189209,6478
global,66,lexico,True,OPTIMAL,1.4542033672332764,101
global,66,fixed,True,OPTIMAL,1.4474928379058838,101
global,66,portfolio,True,OPTIMAL,1.083878755569458,793
decomposed,67,lexico,True,OPTIMAL,0.9328620433807373,10
decomposed,67,maxdeg,True,OPTIMAL,0.9118824005126953,0
decomposed,67,portfolio,True,UNKNOWN,4.9944868087768555,4463
global,67,lexico,True,OPTIMAL,2.04561185836792,423
global,67,fixed,True,OPTIMAL,2.0947632789611816,423
global,67,portfolio,True,OPTIMAL,1.3330941200256348,3764
decomposed,68,lexico,True,OPTIMAL,0.900277853012085,4
decomposed,68,maxdeg,True,OPTIMAL,0.8832821846008301,0
decomposed,68,portfolio,True,UNKNOWN,4.993809223175049,4406
global,68,lexico,True,OPTIMAL,3.4672305583953857,2241
global,68,fixed,True,OPTIMAL,3.265292167663574,2241
global,68,portfolio,True,OPTIMAL,1.039715051651001,101
decomposed,69,lexico,True,OPTIMAL,0.8996677398681641,0
decomposed,69,portfolio,True,UNKNOWN,5.0060203075408936,4547
decomposed,70,portfolio,True,UNKNOWN,4.999336242675781,5238
decomposed,71,portfolio,True,UNKNOWN,5.000705003738403,6058
decomposed,72,portfolio,True,OPTIMAL,1.364713430404663,288
decomposed,73,portfolio,True,OPTIMAL,1.7681052684783936,794
decomposed,74,portfolio,True,OPTIMAL,2.7328152656555176,1037
